method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#min_fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#min_fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.android.datatransport.runtime.scheduling.SchedulingConfigModule_ConfigFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig get()>,xxx,<com.google.android.datatransport.runtime.scheduling.persistence.EventStoreModule_SchemaVersionFactory: java.lang.Integer get()>,1.0,1.0,4.0,22.0,3.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,3.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.collection.MapCollections: java.util.Set getKeySet()>,xxx,<androidx.collection.MapCollections$KeySet: void <init>(androidx.collection.MapCollections)>,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig getDefault(com.google.android.datatransport.runtime.time.Clock)>,xxx,<com.google.android.datatransport.runtime.scheduling.jobscheduling.AutoValue_SchedulerConfig_ConfigValue$Builder: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig$ConfigValue build()>,1.0,1.0,7.0,1.0,7.0,1.0,12.0,1.0,1.0,-1.0,12.0,12.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,7.0,1.0,12.0,1.0,1.0,-1.0,12.0,12.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.android.datatransport.runtime.scheduling.persistence.EventStoreModule_SchemaVersionFactory: int schemaVersion()>,xxx,<com.google.android.datatransport.runtime.scheduling.persistence.EventStoreModule: int schemaVersion()>,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.collection.SimpleArrayMap: int indexOfKey(java.lang.Object)>,xxx,<com.google.android.datatransport.Encoding: int hashCode()>,1.0,1.0,5.0,5.0,1.0,70.0,919.0,1.0,1.0,-1.0,919.0,919.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,5.0,1.0,70.0,919.0,1.0,1.0,-1.0,919.0,919.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.collection.ArraySet: boolean add(java.lang.Object)>,xxx,"<androidx.collection.ArraySet: int indexOf(java.lang.Object,int)>",1.0,1.0,4.0,103.0,940.0,2.0,924.0,1.0,1.0,-1.0,924.0,924.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,103.0,940.0,2.0,924.0,1.0,1.0,-1.0,924.0,924.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,xxx,<androidx.collection.ArraySet: void <clinit>()>,1.0,1.0,5.0,15.0,0.0,10.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,15.0,0.0,10.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.appcompat.widget.AppCompatDrawableManager: androidx.appcompat.widget.AppCompatDrawableManager get()>,xxx,<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,1.0,1.0,9.0,4.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,4.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.appcompat.app.AppCompatDelegateImpl: void onCreate(android.os.Bundle)>,xxx,<androidx.appcompat.app.AppCompatDelegate: void addActiveDelegate(androidx.appcompat.app.AppCompatDelegate)>,1.0,1.0,5.0,2.0,4.0,1.0,10.0,1.0,1.0,-1.0,10.0,10.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,2.0,4.0,1.0,10.0,1.0,1.0,-1.0,10.0,10.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.cct.CCTDestination: void <clinit>()>,xxx,"<com.google.android.datatransport.cct.StringMerger: java.lang.String mergeStrings(java.lang.String,java.lang.String)>",1.0,1.0,9.0,5.0,6.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,5.0,6.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<io.sentry.android.core.ManifestMetadataReader: boolean readBool(android.os.Bundle,io.sentry.ILogger,java.lang.String,boolean)>",xxx,"<io.sentry.android.core.AndroidLogger: void log(io.sentry.SentryLevel,java.lang.String,java.lang.Object[])>",1.0,1.0,3.0,2.0,4.0,112.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,2.0,4.0,112.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.fragment.app.FragmentManager: void startPendingDeferredFragments()>,xxx,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,7.0,2.0,0.0,1221.0,304.0,1.0,1.0,-1.0,304.0,304.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,2.0,0.0,1221.0,304.0,1.0,1.0,-1.0,304.0,304.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<com.google.firebase.components.ComponentRuntime: void doInitializeEagerComponents(java.util.Map,boolean)>",xxx,<com.google.firebase.components.EventBus: void enablePublishingAndFlushPending()>,1.0,1.0,13.0,1.0,302.0,1.0,493.0,1.0,1.0,-1.0,493.0,493.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,13.0,1.0,302.0,1.0,493.0,1.0,1.0,-1.0,493.0,493.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.installations.Utils: com.google.firebase.installations.Utils getInstance()>,xxx,<com.google.firebase.installations.time.SystemClock: com.google.firebase.installations.time.SystemClock getInstance()>,1.0,1.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,13.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<com.google.firebase.messaging.FirebaseMessaging: void <init>(com.google.firebase.FirebaseApp,com.google.firebase.iid.internal.FirebaseInstanceIdInternal,com.google.firebase.inject.Provider,com.google.firebase.inject.Provider,com.google.firebase.installations.FirebaseInstallationsApi,com.google.android.datatransport.TransportFactory,com.google.firebase.events.Subscriber,com.google.firebase.messaging.Metadata)>",xxx,<com.google.firebase.messaging.FcmExecutors: java.util.concurrent.ExecutorService newTaskExecutor()>,1.0,1.0,13.0,1.0,2.0,1.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,13.0,1.0,2.0,1.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.scheduling.SchedulingModule_WorkSchedulerFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkScheduler get()>,xxx,<com.google.android.datatransport.runtime.scheduling.SchedulingConfigModule_ConfigFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig get()>,1.0,1.0,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.appcompat.app.AppCompatDelegateImpl: android.view.ViewGroup createSubDecor()>,xxx,<androidx.appcompat.app.AppCompatDelegateImpl: boolean requestWindowFeature(int)>,1.0,1.0,9.0,1.0,2.0,2.0,49.0,1.0,1.0,-1.0,49.0,49.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,1.0,2.0,2.0,49.0,1.0,1.0,-1.0,49.0,49.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.messaging.FirebaseMessaging: com.google.firebase.messaging.Store$Token getTokenWithoutTriggeringSync()>,xxx,<com.google.firebase.messaging.Metadata: java.lang.String getDefaultSenderId(com.google.firebase.FirebaseApp)>,1.0,1.0,8.0,3.0,6.0,6.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,3.0,6.0,6.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.microsoft.codepush.react.CodePushUpdateManager: java.lang.String getCurrentPackageBundlePath(java.lang.String)>,xxx,"<com.microsoft.codepush.react.CodePushUtils: java.lang.String appendPathComponent(java.lang.String,java.lang.String)>",1.0,1.0,8.0,1.0,3.0,5.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,1.0,3.0,5.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.microsoft.codepush.react.CodePush: java.lang.String getCustomPropertyFromStringsIfExist(java.lang.String)>,xxx,<com.microsoft.codepush.react.CodePushUtils: void log(java.lang.String)>,1.0,1.0,7.0,1.0,4.0,13.0,14.0,1.0,1.0,-1.0,14.0,14.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,4.0,13.0,14.0,1.0,1.0,-1.0,14.0,14.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.lifecycle.LifecycleRegistry: void handleLifecycleEvent(androidx.lifecycle.Lifecycle$Event)>,xxx,<androidx.lifecycle.LifecycleRegistry: androidx.lifecycle.Lifecycle$State getStateAfter(androidx.lifecycle.Lifecycle$Event)>,1.0,1.0,4.0,13.0,8.0,3.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,13.0,8.0,3.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,xxx,<androidx.appcompat.widget.VectorEnabledTintResources: void <clinit>()>,1.0,1.0,3.0,3.0,0.0,5.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,3.0,0.0,5.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",xxx,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable tintDrawable(android.content.Context,int,boolean,android.graphics.drawable.Drawable)>",1.0,1.0,10.0,2.0,36.0,2.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,2.0,36.0,2.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.microsoft.codepush.react.CodePush: void initializeUpdateAfterRestart()>,xxx,<com.microsoft.codepush.react.CodePushUtils: void log(java.lang.String)>,1.0,1.0,6.0,2.0,4.0,13.0,11.0,1.0,1.0,-1.0,11.0,11.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,6.0,2.0,4.0,13.0,11.0,1.0,1.0,-1.0,11.0,11.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.lifecycle.LifecycleRegistry: void forwardPass(androidx.lifecycle.LifecycleOwner)>,xxx,<androidx.arch.core.internal.FastSafeIterableMap: boolean contains(java.lang.Object)>,1.0,1.0,7.0,1.0,1.0,4.0,60.0,1.0,1.0,-1.0,60.0,60.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,1.0,4.0,60.0,1.0,1.0,-1.0,60.0,60.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.app.AppCompatDelegateImpl: void <clinit>()>,xxx,<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,1.0,1.0,5.0,8.0,3.0,15.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,8.0,3.0,15.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore: java.util.List lambda$loadActiveContexts$8(android.database.Cursor)>,xxx,<com.google.android.datatransport.runtime.AutoValue_TransportContext$Builder: com.google.android.datatransport.runtime.TransportContext$Builder setBackendName(java.lang.String)>,1.0,1.0,11.0,1.0,1.0,4.0,19.0,1.0,1.0,-1.0,19.0,19.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,11.0,1.0,1.0,4.0,19.0,1.0,1.0,-1.0,19.0,19.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<expo.modules.imageloader.ImageLoaderPackage: void <init>()>,xxx,<org.unimodules.core.BasePackage: void <init>()>,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.fragment.app.FragmentManagerImpl: void <init>()>,xxx,<androidx.fragment.app.FragmentManager: void <init>()>,1.0,1.0,9.0,4.0,12.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,4.0,12.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<com.google.firebase.messaging.SyncTask: void <init>(com.google.firebase.messaging.FirebaseMessaging,long)>",xxx,<com.google.firebase.messaging.SyncTask: android.content.Context getContext()>,1.0,1.0,7.0,1.0,1.0,5.0,13.0,1.0,1.0,-1.0,13.0,13.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,1.0,5.0,13.0,1.0,1.0,-1.0,13.0,13.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.react.ReactActivity: void <init>()>,xxx,<androidx.appcompat.app.AppCompatActivity: void <init>()>,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.installations.FirebaseInstallations: com.google.android.gms.tasks.Task getToken(boolean)>,xxx,<com.google.firebase.installations.FirebaseInstallations: void preConditionChecks()>,1.0,1.0,11.0,1.0,8.0,2.0,17.0,1.0,1.0,-1.0,17.0,17.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,11.0,1.0,8.0,2.0,17.0,1.0,1.0,-1.0,17.0,17.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.datatransport.TransportRegistrar: com.google.android.datatransport.TransportFactory lambda$getComponents$0(com.google.firebase.components.ComponentContainer)>,xxx,<com.google.android.datatransport.runtime.TransportRuntime: com.google.android.datatransport.TransportFactory newFactory(com.google.android.datatransport.runtime.Destination)>,1.0,1.0,11.0,1.0,9.0,1.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,11.0,1.0,9.0,1.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.collection.ArraySet: void <init>(int)>,xxx,<androidx.collection.ArraySet: void <clinit>()>,1.0,1.0,7.0,1.0,0.0,10.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,0.0,10.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.android.datatransport.runtime.scheduling.DefaultScheduler_Factory: com.google.android.datatransport.runtime.scheduling.DefaultScheduler get()>,xxx,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.fragment.app.FragmentManager: boolean execPendingActions(boolean)>,xxx,"<androidx.fragment.app.FragmentManager: boolean generateOpsForPendingActions(java.util.ArrayList,java.util.ArrayList)>",1.0,1.0,5.0,9.0,8.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,9.0,8.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<com.google.firebase.platforminfo.LibraryVersionComponent: com.google.firebase.platforminfo.LibraryVersion lambda$fromContext$0(java.lang.String,com.google.firebase.platforminfo.LibraryVersionComponent$VersionExtractor,com.google.firebase.components.ComponentContainer)>",xxx,<com.google.firebase.components.ComponentRuntime: java.lang.Object get(java.lang.Class)>,1.0,1.0,11.0,1.0,1.0,9.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,11.0,1.0,1.0,9.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<com.google.android.gms.common.util.AndroidUtilsLight: byte[] getPackageCertificateHashBytes(android.content.Context,java.lang.String)>",xxx,<com.google.android.gms.common.wrappers.Wrappers: void <clinit>()>,1.0,1.0,12.0,1.0,1.0,10.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,12.0,1.0,1.0,10.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<androidx.lifecycle.ViewModelProvider: androidx.lifecycle.ViewModel get(java.lang.String,java.lang.Class)>",xxx,<androidx.fragment.app.FragmentManagerViewModel$1: androidx.lifecycle.ViewModel create(java.lang.Class)>,1.0,1.0,10.0,1.0,2.0,1.0,15.0,1.0,1.0,-1.0,15.0,15.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,2.0,1.0,15.0,1.0,1.0,-1.0,15.0,15.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.FirebaseApp$UiExecutor: void <init>(com.google.firebase.FirebaseApp$1)>,xxx,<com.google.firebase.FirebaseApp$UiExecutor: void <init>()>,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
